session.ID	Message.ID	Message.Timestamp	Message.From	Message.Text	Dialog-Acts									
5	9	2016-03-08T02:33:12.919Z	user	Let's do two tickets to the 9:20 at Regal Meridian 16 please	inform(numberofpeople=2;starttime=9:20;theater=Regal Meridian 16)									
5	10	2016-03-08T02:48:22.749Z	agent	I have successfully purchased your tickets. Enjoy the show!	inform(taskcomplete)	closing(closing=Enjoy the show)								
5	11	2016-03-08T02:48:48.772Z	user	Thank you!	thanks(closing=Thank you!)									
5	12	2016-03-08T02:52:09.274Z	agent	You're welcome!	welcome()									
6	1	2016-03-08T01:12:42.225Z	user	Find me a good action movie this weekend	request(moviename;genre=action;date=this weekend)									
6	2	2016-03-08T01:24:58.616Z	agent	London Has Fallen is currently the number 1 action movie in America.	inform(moviename=london has fallen;genre=action;description=the number 1 action movie in America.)									
6	3	2016-03-08T01:25:38.774Z	user	Oh that sounds terrific	inform(other=Oh that sounds terrific)									
6	4	2016-03-08T01:28:22.948Z	agent	Would you like to purchase tickets to this movie?  I would need to know what city you are in.	confirm_question()	request(city)								
6	5	2016-03-08T01:34:02.373Z	user	Seattle	inform(city=seattle)									
6	6	2016-03-08T01:49:33.396Z	agent	Which theater in Seattle should I search for tickets at?	request(theater)									
6	7	2016-03-08T01:54:39.829Z	user	Regency or AMC please	inform(theater={Regency#AMC})									
6	8	2016-03-08T02:30:09.893Z	agent	Around what time do you want to go? And on which day?	request(starttime)	request(date)								
6	9	2016-03-08T02:50:07.034Z	user	9:30 pm any day this week	inform(starttime=9:30PM;date=any day this week)									
6	10	2016-03-08T04:38:37.843Z	agent	London Has Fallen is showing at 9:45pm on Wednesday at AMC Southcenter 16. Is that showing acceptable for you?	inform(moviename=London Has Fallen;starttime=9:45pm;date=Wednesday;theater=AMC Southcenter 16)	confirm_question()								
6	11	2016-03-08T04:40:06.050Z	user	yes that would be great	confirm_answer()									
6	12	2016-03-08T13:47:30.011Z	agent	Excellent. How many tickets would you like?	inform(other=Excellent)	request(numberofpeople)								
7	1	2016-03-08T02:53:38.432Z	user	I'd like 2 tickets to see Deadpool tomorrow at AMC Pacific Place 11 theater in Seattle at 9:00 PM	request(ticket;moviename=Deadpool;numberofpeople=2;starttime=9:00PM;date=tommorrow;theater=AMC Pacific Place 11 theater;city=seattle)									
7	2	2016-03-08T03:03:54.682Z	agent	Okay, your purchase of 2 tickets for Deadpool is confirmed.	inform(taskcomplete;numberofpeople=2;moviename=Deadpool)									
7	3	2016-03-08T03:08:41.204Z	user	Thank you!	thanks(closing=Thank you!)									
7	4	2016-03-08T06:45:58.764Z	agent	Thank you, goodbye.	thanks(closing=Thank you, goodbye)	closing(closing=goodbye)								
8	1	2016-03-08T03:09:16.879Z	user	I'd like 2 tickets for The Witch tomorrow at Regal Meridian 16 in Seattle at 9:30 PM	request(ticket;moviename=The Witch;numberofpeople=2;starttime=9:30PM;date=tommorrow;theater=Regal Meridian 16;city=seattle)									
8	2	2016-03-08T06:48:32.990Z	agent	Thank you, I was able to purchase 2 tickets for you to see The Witch tomorrow at Regal Meridian 16 in Seattle at 9:30 PM	thanks()	inform(taskcomplete;moviename=The Witch;numberofpeople=2;starttime=9:30PM;date=tommorrow;theater=Regal Meridian 16;city=seattle)								
9	1	2016-03-08T03:11:09.861Z	user	hi! Are there any scary movies playing right now?	greeting(greeting=hi!)	request(moviename;genre=scary;starttime=right now)								
9	2	2016-03-08T03:29:32.276Z	agent	What City and State would you like me to look?	request(city;state)									
9	3	2016-03-08T03:35:01.694Z	user	chicago, il	inform(city=chicago;state=il)									
9	4	2016-03-08T04:12:25.786Z	agent	Here are the movies I found: THE OTHER SIDE OF THE DOOR, THE WITCH.	inform(moviename={THE OTHER SIDE OF THE DOOR#THE WITCH})									
9	5	2016-03-08T04:27:42.851Z	user	The Witch sounds great	inform(moviename=The Witch)									
9	6	2016-03-08T05:36:29.089Z	agent	How many tickets would you like?	request(numberofpeople)									
10	1	2016-03-08T01:55:42.514Z	user	Hey, what's up?	greeting(greeting=Hey,what's up!)									
10	2	2016-03-08T02:04:13.167Z	agent	Hi - would you like to purchase some movie tickets?	greeting(greeting=Hi)	confirm_question()								
10	3	2016-03-08T02:06:13.366Z	user	Yes please. Can you tell me if there are any 10pm showings of Deadpool either tonight or tomorrow in Seattle?	confirm_answer()	request(ticket;moviename=Deadpool;starttime=10pm;date={tonight#tomorrow};city=seattle)								
10	4	2016-03-08T03:31:04.855Z	agent	Deadpool is playing tomorrow at AMC Pacific Place 11 in Seattle at 10:00 PM. Would you like to book?	inform(moviename=Deadpool;starttime=10:00PM;date=tomorrow;theater=AMC Pacific Place 11;city=seattle)	confirm_question()								
10	5	2016-03-08T03:34:39.111Z	user	Yes please! Nine tickets please.	confirm_answer()	inform(numberofpeople=9)								
10	6	2016-03-08T05:29:54.488Z	agent	I have purchased your tickets for you, thank you.	inform(taskcomplete)	thanks(closing=thank you)								
11	1	2016-03-08T04:51:15.389Z	user	Is there anywhere to watch Star Wars near Du Quoin, Illinois?	request(theater;moviename=Star Wars;distanceconstraints=near Du Quoin;city=Du Quoin;state=Illinois)									
11	2	2016-03-08T05:33:12.709Z	agent	Yes, do you have a date in mind?	request(date)									
11	3	2016-03-08T05:34:08.778Z	user	Friday the 11th?	inform(date=Friday the 11th)									
11	4	2016-03-08T05:45:07.575Z	agent	What estimated start time would you prefer? I also need to know how many tickets you're looking to purchase.	request(starttime)	request(numberofpeople)								
11	5	2016-03-08T05:46:37.585Z	user	I'm looking for 5 tickets, and anytime after 6pm for a start is fine.	inform(numberofpeople=5;starttime=anytime after 6pm)									
11	6	2016-03-08T11:33:21.088Z	agent	I am sorry I am not able to purchase online tickets for the theater in Du Quoin.  Is there another location you would like to try?	inform(result={};city=Du Quoin;other=online tickets for the theater in Du Quoin)	request(city)								
11	7	2016-03-08T16:17:14.453Z	user	I had hoped you could search in the general area. I guess the next closest is Carbondale. I don't know. I'm not from around here.	inform(other=I had hoped you could search in the general area. )	inform(distanceconstraints=the next closest;city=Carbondale)								
11	8	2016-03-08T16:24:24.922Z	agent	I am sorry, but there is nowhere in the vicinity of either Du Quoin or Carbondale that are playing Star Wars and have online reservations available.  At this time the only movies that I am able to book for Friday in that area are 10 Cloverfield Lane and The Young Messiah.	inform(result={};distanceconstraints=in the vicinity of either Du Quoin or Carbondale;city={Carbondale#Du Quoin};moviename=Star Wars)	inform(moviename={10 Cloverfield Lane#The Young Messiah};date=Friday;distanceconstraints=in the vicinity of either Du Quoin or Carbondale;city={Carbondale#Du Quoin})								
11	9	2016-03-08T16:27:03.269Z	user	What is 10 Cloverfield Lane?	request(description;moviename=10 Cloverfield Lane)									
11	10	2016-03-08T16:40:38.145Z	agent	It is a thriller science fiction movie, basic synopsis is: A woman (Mary Elizabeth Winstead) discovers the horrifying truth about the outside world while living in an underground shelter with two men (John Goodman, John Gallagher Jr.).	inform(genre=thriller science fiction;actor={John Goodman#John Gallagher Jr.};actress=Mary Elizabeth Winstead)									
11	11	2016-03-08T16:43:00.346Z	user	Oh, that actually sounds good. can you book that for me?	inform(other=Oh that sounds terrific)	confirm_question()								
11	12	2016-03-08T16:58:23.532Z	agent	Yes, I would be happy too. I have reserved 5 tickets under your name to see 10 Cloverfield Lane on 3/11, with a start time of 7:30 pm at AMC SHOWPLACE CARBONDALE 8 1263 E. Main Street, Carbondale, IL 62901.	confirm_answer()	inform(moviename=10 Cloverfield Lane;numberofpeople=5;starttime=7:30 pm;date=3/11;theater=AMC SHOWPLACE CARBONDALE 8;zip=62901;city=Carbondale;state=IL)								
11	13	2016-03-08T17:01:59.762Z	user	Perfect. Thank you so much.	thanks(closing=Perfect. Thank you so much.)									
11	14	2016-03-08T17:04:56.029Z	agent	Thank you!	thanks(closing=Thank you!)									
12	1	2016-03-08T02:11:15.848Z	user	Hello	greeting(greeting=Hello)									
12	2	2016-03-08T02:19:16.790Z	agent	Hi, do you have a question about booking movie tickets?	greeting(greeting=hi)	confirm_question()								
12	3	2016-03-08T02:20:14.783Z	user	Yes I'm looking for an action movie.	confirm_answer()	request(ticket;genre=action)								
12	4	2016-03-08T02:26:17.420Z	agent	Some current action movies are Deadpool, London Has Fallen and The Revenant.  Do any of those interest you?	inform(moviename={Deadpool#London Has Fallen#The Revenant};genre=action)	multiple_choice(moviename)								
12	5	2016-03-08T02:29:59.904Z	user	What is the rating for Deadpool?	request(critic_rating;moviename=Deadpool)									
12	6	2016-03-08T02:46:30.613Z	agent	Deadpool has gotten great reviews all around with a 84 percent on rotten tomatoes and 93 of audience members recommending it.	inform(moviename=Deadpool;critic_rating=84 percent ;description=93 of audience members recommending it)									
12	7	2016-03-08T02:51:11.469Z	user	Is there a lot of violence in the movie?	confirm_question(genre=violence)									
12	8	2016-03-08T02:54:53.807Z	agent	Yes, it is quite violent.	confirm_answer()									
12	9	2016-03-08T03:00:24.597Z	user	Who is the star of the movie?	request(actor;actress)									
12	10	2016-03-08T06:39:20.113Z	agent	Ryan Reynolds is the star of Deadpool.	inform(actor=Ryan Reynolds;moviename=Deadpool)									
13	1	2016-03-08T01:44:14.918Z	user	I need four tickets for Creed around noon tomorrow at Regency Academy 6 Theater	request(ticket;moviename=Creed;starttime=around noon;date=tomorrow;theater=Regency Academy 6 Theater;numberofpeople=4)									
13	2	2016-03-08T03:09:13.199Z	agent	Creed is playing at Regency Academy 6 Theater at 1:00PM tomorrow. Would you like tickets for that showtime?	inform(moviename=Creed;starttime=1:00PM;date=tomorrow;theater=Regency Academy 6 Theater)	confirm_question()								
13	3	2016-03-08T03:11:59.836Z	user	Yes, thank you	confirm_answer()	thanks()								
13	4	2016-03-08T03:42:54.360Z	agent	Great your ticket is booked!	inform(taskcomplete)									
14	1	2016-03-08T02:48:39.831Z	user	what is the best restaurant in Seattle	request(other;description=the best restaurant;city=seattle)									
14	2	2016-03-08T02:54:09.563Z	agent	This system is for buying movie tickets.	Deny()									
14	3	2016-03-08T02:58:42.164Z	user	I'd like 2 tickets to see Brooklyn tomorrow at AMC Pacific Place 11 theater in Seattle at 7:00 PM	request(ticket;moviename=Brooklyn;starttime=7:00 PM;date=tomorrow;theater=AMC Pacific Place 11 theater;numberofpeople=2;city=seattle)									
14	4	2016-03-08T03:35:13.215Z	agent	Okay, your purchase of 2 tickets is confirmed for the movie, time and date you requested.	inform(taskcomplete;numberofpeople=2)									
14	5	2016-03-08T03:36:39.448Z	user	Thank you!	thanks(closing=Thank you!)									
14	6	2016-03-08T03:45:38.653Z	agent	Thank you for using our system	thanks(closing=Thank you for using our system)									
15	1	2016-03-08T01:54:09.678Z	user	Hey	greeting(greeting=Hey)									
15	2	2016-03-08T01:58:50.578Z	agent	Hi, would you like to purchase movie tickets?	greeting(greeting=Hi)	confirm_question()								
15	3	2016-03-08T02:01:44.855Z	user	Yes, I would. Can you tell me what movies are playing in Seattle tonight?	confirm_answer()	request(moviename;city=seattle;date=tonight)								
15	4	2016-03-08T02:32:54.936Z	agent	There are many, many theaters in Seattle and they can have a different selection of movies. Which theater are you interested in? Or would you like to search for a theater?	inform(other=many theaters in Seattle and they can have a different selection of movies;city=Seattle)	request(theater)								
15	5	2016-03-08T02:37:03.530Z	user	How about the Regal Meridian 16? What movies are playing there tonight?	inform(theater=Regal Meridian 16)	request(moviename;theater=Regal Meridian 16;date=tonigh)								
15	6	2016-03-08T03:12:59.941Z	agent	London Has Fallen, Whiskey Tango Foxtrot, Zootopia, Eddie The EAgle, Godys of Egypt, Triple 9, The Witch, Where to Invade Next, Zoolander 2, Hail, Caesar, Kung Fu Panda 3, Star Wars, The Big Short, The Danish Girl, and more.	inform(moviename={London Has Fallen#Whiskey Tango Foxtrot# Zootopia#Eddie The EAgle#Godys of Egypt#Triple 9#The Witch#Where to Invade Next#Zoolander 2#Hail#Caesar#Kung Fu Panda 3#Star Wars#The Big Short#The Danish Girl})									
15	7	2016-03-08T03:17:03.341Z	user	Can I get three tickets to the latest showing of Zoolander 2?	request(ticket;moviename=Zoolander 2;numberofpeople=3;starttime=the latest )									
15	8	2016-03-08T05:41:43.337Z	agent	I have booked your tickets, thank you.	inform(taskcomplete)	thanks(closing=thank you)								
15	9	2016-03-08T05:42:41.339Z	user	Thank you!	thanks(closing=Thank you!)									
15	10	2016-03-08T05:46:21.570Z	agent	You're welcome!	welcome()									
16	1	2016-03-08T03:03:12.942Z	user	I'd like 2 tickets to see Spotlight tomorrow at Regal Meridian 16 theater in Seattle at 9:00 PM	request(ticket;moviename=Spotlight;starttime=9:00 PM;date=tomorrow;theater=Regal Meridian 16 theater;numberofpeople=2;city=seattle)									
16	2	2016-03-08T06:31:31.550Z	agent	Great - I was able to purchase 2  tickets for you to see Spotlight tomorrow at Regal Meridian 16 theater in Seattle at 9:00 PM	inform(taskcomplete;moviename=Spotlight;starttime=9:00 PM;date=tomorrow;theater=Regal Meridian 16 theater;numberofpeople=2;city=seattle)									
17	1	2016-03-08T02:55:48.040Z	user	HI THERE	greeting(greeting=HI THERE)									
17	2	2016-03-08T03:18:10.527Z	agent	Hello! Would you like to purchase movie tickets?	greeting(greeting=Hello!)	confirm_question()								
17	3	2016-03-08T03:19:32.097Z	user	yes	confirm_answer()									
17	4	2016-03-08T03:28:48.091Z	agent	Please indicate your city and the theater you'd like to see the movie at. I'll also need to know which movie you're interested in seeing, the number of tickets you need, and what time you prefer.	request(city;theater)	request(moviename;numberofpeople;starttime)								
17	5	2016-03-08T03:32:10.705Z	user	Royal Oak, Emagine theater. I would like to see Deadpool. I would need 2 tickets and like to go between 8-10 pm.	inform(theater=Emagine theater;city=Royal Oak)	inform(moviename=Deadpool)	inform(numberofpeople=2;starttime=between 8-10 pm)							
17	6	2016-03-08T05:38:29.109Z	agent	What day would you like your tickets for?	request(date)									
18	1	2016-03-08T01:11:14.590Z	user	Please find me a Japanese restaurant that is open until at least midnight tonight in downtown seattle.	request(other;other=open until at least midnight;date=tonight;distanceconstraints=downtown seattle;city=seattle)									
18	2	2016-03-08T01:17:20.049Z	agent	I'm sorry - this is a movie booking service, I am not able to search for restaurants.	Deny()									
18	3	2016-03-08T01:32:57.507Z	user	Show me theaters in southeast portland oregon that are showing star wars the force awakens tonight	request(theater;moviename=star wars the force awakens;date=tonight;distanceconstraints=southeast;city=portland;state=oregon)									
18	4	2016-03-08T03:46:44.801Z	agent	You could still catch Star Wars tonight at Regal Lloyd Center, Century Eastport 16,  Or Regal Movies on TV Stadium 16. Would you like to book tickets at any of those?	inform(moviename=Star Wars;date=tonight;theater={Regal Lloyd Center#Century Eastport 16#Or Regal Movies on TV Stadium 16})	multiple_choice(theater)								
18	5	2016-03-08T04:50:52.689Z	user	That's odd. Someone another person got crossed with me. But sure. Is there a very late showing I could still catch at any of those?	inform(other=That's odd. Someone another person got crossed with me. But sure)	request(starttime)								
18	6	2016-03-08T05:50:45.964Z	agent	How many tickets would you like?	request(numberofpeople)									
18	7	2016-03-08T05:54:40.324Z	user	Well, I think it's a little late for tonight. How about 4 tickets, to Regal Lloyd, anytime after 7pm tomorrow night (that's Tuesday the 8th.)	inform(other= it's a little late for tonight)	request(ticket;numberofpeople=4;theater=Regal Lloyd;date=tomorrow night;starttime=after 7pm)								
18	8	2016-03-08T12:07:07.161Z	agent	Great, I was able to purchase 4 tickets to Star Wars for 3/8 at 9:50 pm at REGAL LLOYD CENTER 10 & IMAX MOVIE TIMES + TICKETS 1510 N.E. Multnomah St., Portland, OR 97232.	inform(taskcomplete;numberofpeople=4;theater=REGAL LLOYD CENTER 10 & IMAX MOVIE TIMES + TICKETS 1510 N.E. Multnomah St;date=3/8;starttime=9:50 pm;city=Portland;state=OR;zip=97232)									
18	9	2016-03-08T16:17:40.460Z	user	Perfect. Thank you so much.	closing()	thanks(closing=Thank you so much)								
18	10	2016-03-08T16:32:03.416Z	agent	Thank you.	thanks(closing=Thank you)									
19	1	2016-03-08T01:45:49.919Z	user	Can you find me two tickets for The Witch at the closest theater to 90601? Tomorrow, as early in the morning as possible	request(ticket;moviename=The Witch;numberofpeople=2;distanceconstraints=closest theater to 90601;zip=90601)	inform(date=tomorrow;starttime=as early in the morning as possible)								
19	2	2016-03-08T03:52:15.487Z	agent	There are two theaters showing The Witch early in the day: 1) Cinemar Downey at 10:35 am and 2) AMC Theaters, Puente Hills at 11:40 am. Would you like to buy these tickets?	inform(moviename=The Witch;mc_list={theater=Cinemar Downey||starttime=10:35am}#{theater=AMC Theaters, Puente Hill||starttime=11:40 am})	multiple_choice(mc_list)								
19	3	2016-03-08T04:02:12.841Z	user	Ill go with option two	inform(other=option two)									
19	4	2016-03-08T05:36:00.952Z	agent	I have purchased your tickets for you, thank you.	inform(taskcomplete)	thanks(closing=thank you)								
20	1	2016-03-08T01:49:16.286Z	user	Is this the movie assistant number?	request(other)									
20	2	2016-03-08T01:52:57.724Z	agent	This is a movie ticket booking service. Would you like to purchase tickets?	confirm_answer()	confirm_question()								
20	3	2016-03-08T01:56:14.403Z	user	Yes, please. Can you tell me when Zootopia is playing tonight around Seattle?	confirm_answer()	request(starttime;moviename=Zootopia;city=Seattle;date=tonight) 								
20	4	2016-03-08T02:02:04.855Z	agent	Zootopia is playing at REGAL MERIDIAN 16 1501 7th Ave, Seattle, WA 98101 at 6:30pm 8:40pm and at BELLEVUE LINCOLN SQUARE CINEMAS 700 Bellevue Way NE, Bellevue, WA 98004 at 7:00pm 9:50pm.	inform(moviename=Zootopia;state=WA;mc_list={theater=REGAL MERIDIAN 16||city=Seattle||zip=98101||starttime={6:30pm#8:40pm}}#{theater=BELLEVUE LINCOLN SQUARE CINEMAS 700||city=Bellevue||zip=98004||starttime={7:00pm#9:50pm}})									
20	5	2016-03-08T02:04:57.378Z	user	None of those work for me... does the Regal Meridian have any showings before 4pm tomorrow?	inform(result={})	confirm_question(starttime=before 4pm;date=tomorrow)								
20	6	2016-03-08T02:08:37.553Z	agent	Yes, the Regal Meridian has a 12:00, 1:10, 2:40 and 3:50 showing tomorrow.	confirm_answer()	inform(theater=Regal Meridian;starttime={12:00#1:10#2:40#3:50};date=tomorrow)								
20	7	2016-03-08T02:10:17.691Z	user	The 2:40 showing sounds great. Can I get two adult tickets and two children's tickets for that showing?	inform(starttime=2:40)	request(ticket;theater=Regal Meridian;numberofkids=2;numberofpeople=2;starttime=2:40)								
20	8	2016-03-08T02:17:34.513Z	agent	Yes, I have booked you 2 adult and 2 child tickets for Zootopia at the Regal Meridian for 2:40 tomorrow.	inform(taskcomplete;numberofkids=2;numberofpeople=2;moviename=Zootopia;theater=Regal Meridian;date=tomorrow;starttime=2:40)									
20	9	2016-03-08T02:33:12.966Z	user	Sounds great! Thank you.	closing(closing=Sounds great! Thank you.)	thanks()								
20	10	2016-03-08T02:36:45.191Z	agent	Thank you, goodbye.	thanks(closing=Thank you, goodbye.)	greeting(greeting=goodbye)								
21	1	2016-03-08T04:52:13.458Z	user	What movies will be starting this weekend in the theater in Bayou Vista, LA?	request(moviename;city=Bayou Vista;state=LA;date=this weekend)									
21	2	2016-03-08T11:56:42.610Z	agent	Some of the newer movies that are out include Deadpool,, Whiskey Tango Foxtrot and Gods of Egypt.  Are you interested in any of these?	inform(moviename={Deadpool#Whiskey Tango Foxtrot#Gods of Egypt};description=the newer movies)	multiple_choice(moviename)								
21	3	2016-03-08T16:15:56.472Z	user	What is Gods of Egypt about?	request(description;moviename=Gods of Egypt)									
21	4	2016-03-08T16:26:53.099Z	agent	Via IMDB: Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict.	inform(description=Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict;moviename=Gods of Egypt)									
21	5	2016-03-08T16:28:55.263Z	user	Nah. How about Deadpool for Friday night?	request(ticket;moviename=Deadpool;date=Friday night)									
21	6	2016-03-08T16:45:08.486Z	agent	They don't have the showtimes up for this weekend yet in Bayou Vista. Would you like to try an earlier day?	inform(result={};date=this weekend yet;city=Bayou Vista)	request(date;city=Bayou Vista) 								
21	7	2016-03-08T16:49:34.854Z	user	Thursday night? Anytime for 2	inform(date=Thursday night)	inform(starttime=Anytime for 2)								
21	8	2016-03-08T16:55:47.381Z	agent	Does Fairview Cinema work for you?	confirm_question(theater=Fairview Cinema)									
21	9	2016-03-08T16:58:31.538Z	user	Yeah, I'm pretty sure Fairview is all they have there.	confirm_answer()									
21	10	2016-03-08T17:00:27.697Z	agent	I have purchased your tickets for Deadpool at 7PM on Thursday. Thank you.	inform(taskcomplete;moviename=Deadpool;date=Thurday;starttime=7PM)	thanks(closing=thank you)								
21	11	2016-03-08T17:08:34.074Z	user	Wonderful. Thank you!	closing(closing=Wonderful)	thanks()								
