session.ID	Message.ID	Message.Timestamp	Message.From	Message.Text	Annotation_Result
6	2	2016-03-09T23:01:35.319Z	agent	We're currently only booking through uber. Would you like an estimate for that?	inform(other=We're currently only booking through uber;car_type=uber)	confirm_question()
6	3	2016-03-09T23:06:10.158Z	user	yes please	confirm_answer()
6	4	2016-03-09T23:24:43.779Z	agent	What are the addresses of your pick up and drop off locations?	request(pickup_location;dropoff_location)
6	5	2016-03-09T23:26:09.746Z	user	hilton downtown to the melting pot restaurant	inform(pickup_location=hilton downtown;dropoff_location=melting pot restaurant)
6	6	2016-03-09T23:56:58.842Z	agent	On what date would you like a taxi?	request(date)
6	7	2016-03-10T00:00:10.050Z	user	next monday	inform(date=next Monday)
6	8	2016-03-10T00:06:56.962Z	agent	I also need a time along with number of passengers.	request(numberofpeople;pickup_time)
6	9	2016-03-10T00:09:09.158Z	user	6pm for 4 people	inform(numberofpeople=4;pickup_time=6pm)
6	10	2016-03-10T01:43:19.744Z	agent	"I am not seeing a Hilton downtown. I do see a Doubletree by Hilton, however. Could you verify what is correct?"	inform(result={})	confirm_question()
6	11	2016-03-10T01:45:41.882Z	user	that is probably iot	confirm_answer()
6	12	2016-03-10T01:49:28.906Z	agent	$10-13 is the price for an uberX. Would you like this option?	inform(cost=$10-13;car_type=UberX)	confirm_question()
6	13	2016-03-10T01:58:14.442Z	user	yes	confirm_answer()
6	14	2016-03-10T02:07:46.009Z	agent	I have confirmed your uberX. Thank you and have a safe trip.	inform(taskcomplete;car_type=uberX;closing=Thank you and have a safe trip.)
7	1	2016-03-10T02:12:09.141Z	user	I would like to book a cab for tomorrow night at 6 please	request(taxi;pickup_time=6pm;date=tomorrow)
7	2	2016-03-10T02:26:53.462Z	agent	Sure. what city are you located in?	request(pickup_location_city)
7	3	2016-03-10T02:50:01.052Z	user	Raliegh	inform(pickup_location_city=Raliegh)
7	4	2016-03-10T02:53:49.414Z	agent	What are you pick up and drop off addresses?	request(pickup_location;dropoff_location)
7	5	2016-03-10T03:15:41.708Z	user	pick up at the North Carolina Museum of Art and drop off at RDU	inform(pickup_location=North Carolina Museum of Art;dropoff_location=RDU)
7	6	2016-03-10T03:41:39.882Z	agent	How many passengers will there be?	request(numberofpeople)
7	7	2016-03-10T04:01:12.092Z	user	2	inform(numberofpeople=2)
7	8	2016-03-10T04:18:34.629Z	agent	$11-15 is the price for an uberX. Would you like this option?	inform(cost=$11-15;car_type=UberX)	confirm_question()
7	9	2016-03-10T04:28:42.082Z	user	yes that is fine	confirm_answer()
7	10	2016-03-10T04:46:00.293Z	agent	I have successfully booked your uber. Enjoy your ride.	inform(taskcomplete;car_type=uber;closing=Enjoy your ride)
7	11	2016-03-10T04:47:08.638Z	user	thank you!	thanks()
7	12	2016-03-10T04:57:46.090Z	agent	I have confirmed your uberX. Thank you and have a safe trip.	inform(taskcomplete;car_type=uberX;closing=Thank you and have a safe trip.)
8	1	2016-03-09T22:12:37.901Z	user	I need a taxi for 5 people at 54 Elm Street at 6 PM.	request(taxi;pickup_time=6 PM;numberofpeople=5;pickup_location_city=54 Elm Street)
8	2	2016-03-09T22:19:19.255Z	agent	"Hi, I also need to know your drop off location."	request(greeting=Hi;dropoff_location)
8	3	2016-03-09T22:20:02.169Z	user	I need to be dropped at 450 Beacon Street.	inform(dropoff_location=450 Beacon Street)
8	4	2016-03-09T22:22:58.660Z	agent	What city are you located in?	request(pickup_location_city)
8	5	2016-03-09T22:24:38.743Z	user	New York.	inform(pickup_location_city=New York.)
8	6	2016-03-09T22:32:21.673Z	agent	What day do you need the taxi?	request(date)
8	7	2016-03-09T22:36:36.109Z	user	Friday.	inform(date=Friday)
8	8	2016-03-09T23:26:37.724Z	agent	I found many Elm Streets in New York. Could you please specify your location?	inform(result={})	confirm_question()
8	9	2016-03-09T23:28:07.902Z	user	Brooklyn.	confirm_answer()
8	10	2016-03-10T01:29:24.802Z	agent	And may I have your name?	request(name)
8	11	2016-03-10T03:12:11.229Z	user	Mike.	inform(name=Mike)
8	12	2016-03-10T03:34:14.186Z	agent	"UberX would cost $17-23. Would you like to book that, or explore other Uber options?"	inform(cost=$17-23;car_type=UberX)	confirm_question()
8	13	2016-03-10T06:58:12.869Z	user	Yes.	confirm_answer(car_type=UberX)
8	14	2016-03-10T07:01:46.963Z	agent	I have confirmed your uberX. Thank you and have a safe trip.	inform(taskcomplete;car_type=uberX;closing=Thank you and have a safe trip)
8	15	2016-03-10T07:07:46.864Z	user	Thanks.	thanks()
8	16	2016-03-10T13:10:20.405Z	agent	Thank you.	thanks()
9	1	2016-03-09T23:40:09.275Z	user	I need a car for pick up at the Space Needle that can hold 2 infant car seats and 2 adults tomorrow at noon.	request(taxi;pickup_location=Space Needle;numberofpeople=4;pickup_time=at noon;date=tomorrow)
9	2	2016-03-10T00:36:41.315Z	agent	What is the drop off location?	request(dropoff_location)
9	3	2016-03-10T00:55:40.507Z	user	The King Dome parking lot	inform(dropoff_location=The King Dome parking lot)
9	4	2016-03-10T01:21:23.238Z	agent	$8-11 is the price for an uberX. Would you like this option?	inform(cost=$8-11;car_type=UberX)	confirm_question()
9	5	2016-03-10T01:28:42.270Z	user	WOW that's cheap! Yes I would like that.	confirm_answer()
9	6	2016-03-10T01:48:54.629Z	agent	"Your UberX Ride has been confirmed, travel safely!"	inform(taskcomplete;car_type=UberX;closing=travel safely)
10	1	2016-03-10T03:19:41.449Z	user	"Hey Bode, I need a taxi at 75 Spring St - Atlanta GA and I need to go to the airport, please get this sent as soon as possible, only 1 person will be riding"	request(taxi;pickup_location=75 Spring St;pickup_location_city=Atlanta;state=GA;numberofpeople=1;pickup_time= as soon as possible;greeting=Hey Bode)
10	2	2016-03-10T03:50:09.453Z	agent	Sure. Pool would cost $9-13 while UberX would cost $11-15. Would you like to book one of those or explore other Uber options?	inform(mc_list={car_type=pool||cost=$9-13}#{car_type=UberX||cost=$11-15})	multiple_choice(mc_list)
10	3	2016-03-10T03:56:43.200Z	user	Book one of these	inform(other=Book one of these)
10	4	2016-03-10T04:11:45.633Z	agent	What name would you like this under?	request(name)
10	5	2016-03-10T04:25:59.735Z	user	Bond	inform(name=Bond)
10	6	2016-03-10T04:44:50.609Z	agent	$11-15 is the price for an uberX. Would you like this option?	inform(cost=$11-15;car_type=UberX)	confirm_question()
10	7	2016-03-10T04:49:06.599Z	user	Yes I would please book it for me	confirm_answer()
10	8	2016-03-10T04:51:26.996Z	agent	"Your reservation was confirmed, enjoy your UberX ride!"	inform(taskcomplete;car_type=uberX;closing=enjoy your UberX ride)
10	9	2016-03-10T04:58:13.499Z	user	Thanks	thanks()
10	10	2016-03-10T05:07:45.012Z	agent	Thank you.	thanks()
11	1	2016-03-10T16:02:42.061Z	user	I would like to schedule a taxi pickup for 10 pm in seattle	request(taxi;pickup_time=10pm;pickup_location_city=seattle)
11	2	2016-03-10T16:21:31.090Z	agent	What date would you like me to book?	request(date)
11	3	2016-03-10T16:27:45.666Z	user	march 11th	inform(date=march 11th)
11	4	2016-03-10T16:30:28.576Z	agent	I'll need your location. I'll also need your pick up and drop off destinations.	request(pickup_location;dropoff_location)
11	5	2016-03-10T16:35:46.009Z	user	Pick up at 725 23rd Ave and drop off at 298 18th ave	inform(pickup_location=725 23rd Ave;dropoff_location=298 18th ave)
11	6	2016-03-10T16:48:05.175Z	agent	that would cost $2 on UberHOP and $4-5 on UberX. Would you like to book one of those or explore other Uber options?	inform(mc_list={car_type=UberHOP||cost=$2}#{car_type=UberX||cost=$4-5})	multiple_choice(mc_list)
11	7	2016-03-10T16:54:46.215Z	user	UberHop is fine please	inform(car_type=UberHOP)
11	8	2016-03-10T17:05:28.664Z	agent	"Great! Can i have your name, please?"	request(name)
11	9	2016-03-10T17:07:47.100Z	user	Megan Rockwell	inform(name=Megan Rockwell)
11	10	2016-03-10T17:32:17.321Z	agent	I have confirmed your uberHop. Thank you and have a safe trip.	inform(taskcomplete;car_type=uberHop;closing=Thank you and have a safe trip)
11	11	2016-03-10T17:34:17.337Z	user	Thank you!	thanks()
11	12	2016-03-10T17:45:20.813Z	agent	"Thanks for using our service, Megan!"	thanks(closing=Thanks for using our service)
12	1	2016-03-10T01:49:40.079Z	user	is it possible to get a taxi for three people on monday  at 5pm? Departing downtown seattle and arriving at the space needle.	request(taxi;pickup_time=5pm;date=monday;pickup_location_city=seattle;dropoff_location=space needle)
12	2	2016-03-10T02:10:00.220Z	agent	$6-8 is the price of an uberX. Would you like this option?	inform(cost=$6-8;car_type=UberX)	confirm_question()
12	3	2016-03-10T02:13:42.659Z	user	yes	confirm_answer()
12	4	2016-03-10T02:20:44.552Z	agent	I have confirmed your uberX. Thank you and have a safe trip.	inform(taskcomplete;car_type=uberX;closing=Thank you and have a safe trip)
13	1	2016-03-10T02:29:38.923Z	user	"need a uber at the wilmington court house tomorrow at 11am to take me to the ramada inn on market street in wilmington, nc"	request(taxi;car_type=uber;pickup_location=wilmington court house;pickup_time=11am;dropoff_location=ramada inn on market street;dropoff_location_city=wilmington;state=nc)
13	2	2016-03-10T02:54:01.559Z	agent	Sure. How many passengers will there be?	request(numberofpeople)
13	3	2016-03-10T03:03:12.368Z	user	1	inform(numberofpeople=1)
13	4	2016-03-10T03:26:13.459Z	agent	$6-8 is the price for an uberX. Would you like this option?	inform(cost=$6-8;car_type=uberX)	confirm_question()
13	5	2016-03-10T03:34:14.197Z	user	yes	confirm_answer()
13	6	2016-03-10T03:37:44.750Z	agent	"Your reservation was confirmed with UberX, enjoy your ride!"	inform(taskcomplete;car_type=UberX;closing=enjoy your ride)
14	1	2016-03-09T22:12:38.004Z	user	I am at Kerry Park in Seattle and I need a ride home can you come pick me up now?	request(pickup_location=Kerry Park;pickup_location_city=Seattle;taxi;pickup_time=now )
14	2	2016-03-09T22:19:18.957Z	agent	Where would you like to be dropped off?	request(dropoff_location)
14	3	2016-03-09T22:32:39.641Z	user	downtown seattle	inform(dropoff_location=downtown seattle)
14	4	2016-03-09T22:40:12.412Z	agent	How many passengers will there be?	request(numberofpeople)
14	5	2016-03-09T22:49:41.390Z	user	2	inform(numberofpeople=2)
14	6	2016-03-09T23:25:05.514Z	agent	What date would you like me to look?	request(date)
14	7	2016-03-09T23:50:09.976Z	user	tonight	inform(date=tonight)
14	8	2016-03-10T00:35:57.491Z	agent	$8-11 is the price for an uberX. Would you like this option?	inform(cost=$8-11;car_type=uberX)	confirm_question()
14	9	2016-03-10T00:45:43.233Z	user	ok yes!	confirm_answer()
14	10	2016-03-10T01:15:15.956Z	agent	Success. I have ordered you this Uber and it should be on its way.	inform(taskcomplete;car_type=Uber)
15	1	2016-03-09T23:26:09.037Z	user	"Hey there, could you get me a taxi ride to the detroit airport from Lansing, mi tomorrow at 8am?"	request(greeting=Hey there;taxi;dropoff_location=detroit airport;pickup_location_city=Labsing;state=mi;date=tomorrow;pickup_time=8am)
15	2	2016-03-10T00:12:56.001Z	agent	How many are going?	request(numberofpeople)
15	3	2016-03-10T00:13:42.102Z	user	2	inform(numberofpeople=2)
15	4	2016-03-10T00:24:37.123Z	agent	Where exactly would you like a pickup in Lansing?	request(pickup_location)
15	5	2016-03-10T00:26:12.273Z	user	1200 e. Michigan Ave	inform(pickup_location=1200 e. Michigan Ave)
15	6	2016-03-10T01:08:34.402Z	agent	$88-116 is the price for an uberX. Would you like this option?	inform(cost=$88-116;car_type=uberX)	confirm_question()
15	7	2016-03-10T01:15:11.895Z	user	yes	confirm_answer()
15	8	2016-03-10T01:30:23.388Z	agent	Great. And what is your name?	request(name)
15	9	2016-03-10T01:47:12.010Z	user	Jamie	inform(name=Jamie)
15	10	2016-03-10T01:54:20.220Z	agent	I have confirmed your uberX. Thank you and have a safe trip.	inform(taskcomplete;car_type=UberX;closing=Thank you and have a safe trip)
15	11	2016-03-10T01:58:40.559Z	user	Thank you!	thanks()
15	12	2016-03-10T02:08:12.093Z	agent	Thank you.	thanks()
16	1	2016-03-09T22:12:38.805Z	user	Can I get a ride home from the museum of flight at 6pm tonight?	request(taxi;pickup_location= museum of flight;pickup_time=6pm;date=tonight)
16	2	2016-03-09T22:19:19.169Z	agent	Sure. I also need to know your drop off location.	request(dropoff_location)
16	3	2016-03-09T22:36:36.240Z	user	downtown seattle	inform(dropoff_location=downtown seattle)
16	4	2016-03-09T22:51:55.428Z	agent	How many passengers will there be?	request(numberofpeople)
16	5	2016-03-09T22:54:07.748Z	user	3	inform(numberofpeople=3)
16	6	2016-03-09T23:20:29.091Z	agent	I found an uberX for $16-21. Would you like this option?	inform(car_type=uberX;cost=$16-21)	confirm_question()
16	7	2016-03-09T23:50:35.889Z	user	ok yes please	confirm_answer()
16	8	2016-03-10T00:04:14.425Z	agent	"I've booked your ride, have a safe trip!"	inform(taskcomplete;closing=have a safe trip)
17	1	2016-03-09T22:05:07.658Z	user	Hello I need a taxi right  now in Miami	request(taxi;pickup_time=right now;pickup_location_city=Miami;greeting=Hello)
17	2	2016-03-09T22:12:53.533Z	agent	"Hello, how many passengers will you have?"	request(numberofpeople;greeting=Hello)
17	3	2016-03-09T22:21:10.489Z	user	One passanger	inform(numberofpeople=1)
17	4	2016-03-09T22:25:56.885Z	agent	I need to know the address of your pick up and drop off locations.	request(pickup_location;dropoff_location)
17	5	2016-03-09T22:45:30.813Z	user	2200 Nothest Avenue and I need to go to the airport	inform(pickup_location=2200 Nothest Avenue;dropoff_location=airport)
17	6	2016-03-09T23:05:56.002Z	agent	"I'm sorry, I cannot find your pickup location. Could you please specify it?"	inform(result={})	confirm_question(pickup_location)
17	7	2016-03-09T23:17:39.605Z	user	226 NE 1st Ave	confirm_answer(pickup_location=226 NE 1st Ave)
17	8	2016-03-09T23:40:52.010Z	agent	I found an uberX for $15-20. Would you like this option?	inform(car_type=uberX;cost=$15-20)	confirm_question()
17	9	2016-03-09T23:46:27.521Z	user	Yes	confirm_answer()
17	10	2016-03-10T00:11:07.753Z	agent	I have confirmed your uber. Thank you.	inform(taskcomplete;car_type=Uber;closing=Thank you)
17	11	2016-03-10T00:13:09.975Z	user	Thank you!	thanks()
17	12	2016-03-10T00:17:36.493Z	agent	Thank you.	thanks()
18	1	2016-03-10T02:28:10.577Z	user	need a convertible uber to really enjoy the sun tomorrow	request(taxi;car_type=uber;date=tomorrow)
18	2	2016-03-10T02:47:01.028Z	agent	Could you please provide your pickup location?	request(pickup_location)
18	3	2016-03-10T02:49:33.125Z	user	"ihop on market street in wilmington, nc at 10 am"	inform(pickup_location=ihop on market street;pickup_location_city=wilmington;state=nc;pickup_time=10am)
18	4	2016-03-10T02:54:47.857Z	agent	How many passengers will there be?	request(numberofpeople)
18	5	2016-03-10T03:03:12.282Z	user	2	inform(numberofpeople=2)
18	6	2016-03-10T03:21:56.352Z	agent	Could you please provide a drop off location?	request(dropoff_location)
18	7	2016-03-10T03:34:04.139Z	user	fort fisher state park	inform(dropoff_location=fort fisher state park)
18	8	2016-03-10T03:59:04.531Z	agent	And what name would you like to use?	request(name)
18	9	2016-03-10T04:03:44.507Z	user	Kryssyy Bode	inform(name=Kryssyy Bode)
18	10	2016-03-10T04:10:31.488Z	agent	I found the following rides available for you : uberX $19-26\r\nuberXL $40-53	inform(mc_list={car_type=uberX||cost=$19-26}#{car_type=uberXL||cost=$40-53})
18	11	2016-03-10T04:17:42.427Z	user	uberXL $40-53	inform(car_type=uberXL;cost=$40-53)
18	12	2016-03-10T04:34:02.751Z	agent	I have successfully booked your uberXL. Enjoy your ride.	inform(taskcomplete;car_type=uberXL;closing= Enjoy your ride)
19	1	2016-03-09T22:16:38.029Z	user	I need a large taxi for 6 people.	request(taxi;numberofpeople=6;other=a large taxi)
19	2	2016-03-09T22:32:41.633Z	agent	Hi. I need to know the address of your pick up and drop off locations.	greeting()	request(pickup_location;dropoff_location)
19	3	2016-03-09T22:38:06.244Z	user	I want to be picked up at 305 Alcove Road and dropped at 204 Bridge Street.	inform(pickup_location=305 Alcove Road;dropoff_location=204 Bridge Street)
19	4	2016-03-09T22:59:26.793Z	agent	On what date would you like a taxi?	request(date)
19	5	2016-03-09T23:05:11.923Z	user	Friday at 7 PM.	inform(date=Friday;pickup_time=7 PM)
19	6	2016-03-09T23:11:38.711Z	agent	Is this in Seattle?	confirm_question()
19	7	2016-03-09T23:19:53.905Z	user	Yes.	confirm_answer()
19	8	2016-03-10T01:36:50.170Z	agent	"I'm sorry, I'm having a hard time finding those locations. Could you check the street addresses for me?"	inform(result={})	confirm_question()
19	9	2016-03-10T06:56:42.556Z	user	701 Fifth Avenue	confirm_answer()
19	10	2016-03-10T13:29:29.902Z	agent	Is that the pickup or dropoff location?	confirm_question()
19	11	2016-03-10T14:26:42.153Z	user	Pickup.	inform(pickup_location=701 Fifth Avenue)
19	12	2016-03-10T14:28:10.358Z	agent	And your drop off address?	request(dropoff_location)
19	13	2016-03-10T14:31:42.614Z	user	223 Yesler Way	inform(dropoff_location=223 Yesler Way)
19	14	2016-03-10T14:39:39.427Z	agent	Here are the available ride options for you : \r\n\r\nuberX $4-5\r\nuberXL $6-7\r\nuberSELECT $8-9\r\nUberBLACK $12\r\nUberSUV $20	inform(mc_list={car_type=uberX||cost=$4-5}#{car_type=uberXL||cost=$6-7}#{car_type=uberSELECT||cost=$8-9}#{car_type=uberBLACK||cost=$12}#{car_type=uberSUV||cost=$20})
19	15	2016-03-10T14:50:42.668Z	user	uberSELECT $8-9.	inform(car_type=uberSELECT;cost=$8-9)
19	16	2016-03-10T14:52:12.933Z	agent	I have confirmed your uberX. Thank you and have a safe trip.	inform(taskcomplete;car_type=uberX;closing=Thank you and have a safe trip)
19	17	2016-03-10T14:57:11.616Z	user	Thanks.	thanks()
19	18	2016-03-10T14:59:03.935Z	agent	Thank you.	thanks()
20	1	2016-03-09T22:06:38.620Z	user	Hi there can you find me a Taxi to pick me up from the Residence Inn in Arlington and take me to AT&T Stadium at around 6 PM?	request(taxi;greeting;pickup_location=Residence Inn;pickup_location_city=Arlington;dropoff_location=AT&T Stadium;pickup_time=around 6 PM)
20	2	2016-03-09T22:12:53.589Z	agent	"Hello, can you provide with me the address of the Residence Inn you're located at?"	request(greeting;pickup_location)
20	3	2016-03-09T22:21:10.534Z	user	"1050 Brookhollow Plaza Dr, Arlington, TX 76006"	inform(pickup_location=1050 Brookhollow Plaza Dr;pickup_location_city=Arlington;state=TX)
20	4	2016-03-09T22:33:47.575Z	agent	On what date are you looking for a taxi?	request(date)
20	5	2016-03-09T22:46:06.914Z	user	Tonight so March 9th	inform(date=March 9th)
20	6	2016-03-09T23:18:41.873Z	agent	How many are going?	request(numberofpeople)
20	7	2016-03-09T23:24:31.383Z	user	Myself and one other person	inform(numberofpeople=2)
20	8	2016-03-09T23:58:37.635Z	agent	$5 is the price for an uberX. Would you like this option?	inform(car_type=uberX;cost=$5)	confirm_question()
20	9	2016-03-09T23:59:23.746Z	user	Sure sounds great.  Go ahead and book it for me!	confirm_answer()
20	10	2016-03-10T00:10:35.455Z	agent	"Your UberX is booked, enjoy your ride."	inform(taskcomplete;car_type=uberX;closing=enjoy your ride)
20	11	2016-03-10T00:11:39.731Z	user	Great thank you very much for your help!	thanks()
20	12	2016-03-10T00:16:28.282Z	agent	Thank you.	thanks()
21	1	2016-03-10T04:09:40.851Z	user	is it possible to get picked up by a motorcycle just for 1 person?	request(taxi;car_type=motorcycle;numberofpeople=1)
21	2	2016-03-10T04:31:43.035Z	agent	I don't think that is possible. You're booking through uber. Would you like an estimate?	inform(result={})	confirm_question()
21	3	2016-03-10T04:35:10.364Z	user	ok a small car thats fuel efficient	confirm_answer(car_type=small)
21	4	2016-03-10T04:51:27.283Z	agent	On what date would you like a taxi?	request(date)
21	5	2016-03-10T05:03:14.156Z	user	3\/15\/2016	inform(date=3\/15\/2016)
21	6	2016-03-10T05:11:13.144Z	agent	Where is your pick up and drop of location?	request(pickup_location;dropoff_location)
21	7	2016-03-10T05:16:40.060Z	user	"wilmington, nc pick me up at the tilted kilt off market street at 11pm and take me to 4409 gordon road"	inform(pickup_location=tilted kilt off market street;pickup_location_city=wilmington;state=nc;pickup_time=11pm;dropoff_location=4409 gordon road)
21	8	2016-03-10T05:43:31.110Z	agent	$5-7 is the price for an uberX. Would you like this option?	inform(car_type=uberX;cost=$5-7)	confirm_question()
21	9	2016-03-10T05:47:11.676Z	user	yes	confirm_answer()
21	10	2016-03-10T05:50:57.189Z	agent	"Your reservation was confirmed, enjoy your UberX ride and stay safe."	inform(taskcomplete;closing=enjoy your UberX ride and stay safe)
22	1	2016-03-10T03:05:10.869Z	user	Can I get a taxi to pick me up at New Orleans airport at 7am tomorrow and bring me to 3333 magazine street. There will be two passengers in my party.	inform(taxi;pickup_location=airport;pickup_location_city=New Orleans;dropoff_location=3333 magazine street;date=tomorrow;pickup_time=7am;numberofpeople=2)
22	2	2016-03-10T03:48:49.317Z	agent	$75 is the price for an uberBlack. Would you like this option?	inform(car_type=uberBlack;cost=$75)	confirm_question()
22	3	2016-03-10T04:13:44.176Z	user	yes	confirm_answer()
22	4	2016-03-10T04:31:28.637Z	agent	I have successfully booked your uber. Enjoy your ride.	inform(taskcomplete;car_type=uber;closing=Enjoy your ride)
23	1	2016-03-09T23:05:12.217Z	user	Can you send a female driver to pick up a bunch of girls from teh club?	request(taxi;other=a female driver)
